,m,z,c,q,5,w,o,i,r,6,d,0,n,9,v,p,u,k,g,a,e,s,x,t,1,y,l,7,f,2,j,h,8,3,b,4
m,427,3,8,3,0,5,13,34,41,3,4,14,24,10,70,3,184,4,6,20,39,17,4,21,19,3,19,3,3,0,10,3,1,1,2,4
z,0,68,1,0,0,1,0,8,2,3,0,3,2,0,1,1,26,1,0,2,15,1,2,11,10,0,9,5,0,1,4,1,0,0,1,2
c,11,2,899,4,0,4,15,41,19,6,15,65,29,10,4,3,107,3,5,23,57,31,12,46,25,5,18,4,4,1,18,3,1,1,1,9
q,0,0,1,34,0,0,6,2,0,0,1,3,4,0,0,0,8,0,1,2,1,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0
5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,13,0,1,2,0,217,7,13,12,1,2,2,16,1,1,3,26,2,1,2,15,2,1,2,4,2,8,0,0,0,2,0,0,0,0,1
o,29,6,41,9,2,6,563,78,42,6,15,773,95,9,11,16,146,11,17,15,62,42,21,75,40,6,20,4,7,0,29,16,4,2,7,10
i,46,107,48,7,0,6,24,145,59,19,37,53,91,30,40,23,895,20,19,49,276,88,8,318,272,58,156,25,25,4,58,20,1,17,2,32
r,29,8,25,7,1,10,71,73,1036,10,34,55,47,26,9,19,160,170,22,42,249,29,83,73,77,10,24,9,27,14,38,10,87,10,4,19
6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,2,4,10,2,1,2,113,39,8,10,602,77,35,9,4,1,122,3,4,27,88,12,2,24,14,0,10,6,6,0,27,6,1,2,1,14
0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,27,19,27,6,0,7,80,66,37,14,27,175,627,39,14,10,550,8,27,48,166,25,83,112,93,33,77,13,4,2,29,5,29,5,8,33
9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v,7,0,2,3,0,1,4,10,3,1,1,9,7,2,197,0,41,1,4,9,21,5,1,9,6,1,8,3,0,0,4,0,0,1,0,4
p,33,2,5,7,1,2,12,27,13,3,4,11,15,89,7,614,47,0,0,15,37,21,1,17,27,4,15,7,7,0,7,6,0,3,0,7
u,14,3,24,5,0,5,10,33,15,3,56,51,16,4,0,4,713,5,21,7,40,17,5,33,16,1,14,3,8,4,65,8,3,2,4,5
k,1,2,23,1,0,0,0,10,3,0,8,9,7,0,1,3,17,150,0,10,7,6,41,4,4,1,14,0,0,0,6,4,0,3,0,1
g,3,3,74,8,0,2,27,26,12,6,9,107,110,49,3,3,125,2,243,15,68,10,3,36,23,9,13,2,2,2,19,6,17,2,3,8
a,52,32,52,15,0,10,26,98,50,8,66,89,141,22,23,21,237,9,21,1183,80,44,10,89,101,13,39,10,8,43,30,100,4,4,10,123
e,57,191,201,17,0,21,22,117,82,115,98,105,109,29,45,29,261,31,25,43,1821,72,15,171,75,11,51,14,21,3,70,38,3,7,13,15
s,18,10,27,10,0,9,30,88,46,19,25,67,94,40,13,15,230,13,12,43,224,1692,8,91,63,28,28,5,3,5,46,15,11,7,6,13
x,0,1,1,0,0,0,2,5,2,0,2,1,3,0,2,1,10,0,2,1,5,3,61,5,4,0,1,0,0,0,2,0,0,1,0,0
t,29,7,39,4,1,5,23,82,81,8,22,43,84,20,14,11,186,10,12,70,115,106,17,877,105,5,50,234,10,1,35,40,2,2,6,18
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1
y,6,0,6,2,1,1,3,16,9,3,5,8,14,8,36,12,54,6,2,8,20,9,2,17,15,248,24,1,8,0,6,1,0,1,0,4
l,15,19,140,4,0,5,15,125,7,14,28,35,28,26,9,13,460,134,14,86,96,22,7,102,82,10,251,17,15,0,21,29,1,2,16,13
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
f,5,0,7,2,14,0,1,12,10,22,2,9,16,0,0,4,32,1,2,0,25,2,1,10,5,5,3,5,264,0,24,7,0,13,0,13
2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
j,0,2,0,0,0,0,1,3,0,1,10,2,1,2,0,0,3,0,1,0,1,2,0,1,4,0,3,4,1,4,15,0,0,6,1,0
h,6,2,15,2,1,11,6,41,2,2,17,16,31,6,3,14,80,2,15,4,24,23,3,30,8,58,14,4,7,0,13,413,0,4,7,4
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
b,9,2,8,0,1,0,29,19,7,127,12,27,5,19,3,2,52,7,17,21,75,6,1,41,14,1,6,1,0,14,25,10,9,18,218,3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
