,s,h,c,t,7,z,2,u,b,o,a,0,j,k,m,f,8,l,w,6,r,5,i,x,9,3,1,n,p,y,v,q,e,g,d,4
s,512,0,3,2,0,0,0,2,2,0,3,1,0,2,0,0,1,3,0,0,8,1,11,1,0,0,0,5,1,1,0,0,12,0,2,0
h,1,288,3,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
c,2,1,288,1,0,0,0,1,0,3,4,2,0,1,0,0,0,6,1,0,1,0,8,0,0,0,0,1,0,1,0,0,3,0,2,0
t,10,6,5,569,0,0,0,1,0,5,8,2,0,0,0,0,0,5,0,0,10,0,5,0,0,0,0,11,2,1,1,0,9,0,1,0
7,0,0,0,1,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0
z,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,86,0,1,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0
u,0,0,0,2,0,0,0,218,0,6,1,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
b,0,1,1,0,0,0,0,1,162,1,3,0,0,0,0,0,2,7,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
o,7,1,11,9,0,0,0,2,3,568,0,44,0,1,5,1,0,3,0,0,6,0,10,0,1,0,1,10,1,4,1,0,1,1,3,0
a,4,1,7,3,0,0,0,0,0,7,779,0,1,1,5,2,0,12,1,0,2,0,12,0,0,1,0,6,1,2,6,0,4,0,2,0
0,2,0,3,0,1,0,2,0,0,26,1,62,0,0,0,0,1,2,0,0,1,3,2,0,1,2,3,0,0,0,0,0,0,0,0,1
j,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0
k,0,0,7,0,0,0,0,0,0,2,0,0,0,111,0,0,0,3,0,0,1,0,4,0,0,0,0,2,0,1,1,0,1,0,0,0
m,0,0,1,5,0,1,0,0,0,6,4,0,0,1,240,0,0,2,0,0,1,1,6,0,0,1,0,1,0,0,0,0,2,1,0,0
f,2,0,1,5,0,0,1,0,0,2,0,0,0,0,0,156,0,2,0,0,1,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
l,1,0,2,1,0,0,0,2,3,3,9,0,1,0,0,1,0,310,0,0,2,0,39,0,0,0,5,2,3,0,0,0,3,0,1,0
w,0,1,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,2,174,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,1,0
6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
r,2,0,3,3,0,0,0,2,1,2,13,2,0,1,0,1,1,3,0,0,570,0,7,0,0,1,0,2,2,0,0,0,17,1,1,0
5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,44,1,0,1,1,2,0,0,0,0,0,0,0,0,1
i,6,4,4,17,0,0,0,0,3,1,4,1,0,1,3,1,0,48,2,0,4,1,505,0,0,1,2,12,2,1,5,0,6,1,2,0
x,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,1,2,0,0,0,0,0,0,0,0,1
3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,70,0,1,0,0,0,0,0,0,0,1
1,5,0,1,0,1,0,1,0,0,0,3,3,0,1,0,0,0,3,0,2,0,1,5,0,1,2,80,1,0,0,0,0,1,0,0,1
n,3,0,1,2,0,0,0,3,0,16,16,1,0,0,2,1,0,4,2,0,4,0,18,1,0,1,0,526,0,0,0,0,6,4,4,0
p,1,1,1,0,0,0,0,0,2,4,2,1,0,0,0,0,0,2,0,0,2,0,3,1,0,0,0,0,172,0,0,0,2,0,1,0
y,2,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,4,0,4,1,0,0,0,1,0,139,0,0,1,0,0,0
v,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,1,101,0,3,0,0,0
q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
e,7,7,13,10,1,0,1,0,3,3,4,0,0,4,7,3,0,16,2,0,11,0,10,0,0,2,0,6,4,1,8,0,857,4,2,0
g,1,0,6,1,0,0,0,0,1,2,4,0,0,0,0,0,2,3,0,0,1,0,5,0,1,1,1,8,0,0,1,0,1,175,0,0
d,1,0,1,1,0,0,0,0,0,11,5,4,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,6,0,0,1,0,6,0,259,0
4,2,0,1,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,34
