,u,s,y,v,o,2,4,7,t,b,h,q,1,8,f,m,i,3,l,0,r,n,x,e,j,z,9,p,5,6,w,k,a,g,d,c
u,1173,3,0,0,11,0,5,1,2,1,3,5,1,0,3,18,3,0,6,3,5,3,0,3,3,2,4,2,0,0,1,0,2,4,4,3
s,21,2984,0,1,15,2,47,1,16,3,0,1,6,62,3,1,18,63,9,8,6,11,1,26,8,2,89,3,3,6,1,3,9,0,3,0
y,4,0,482,75,2,1,1,0,1,1,1,5,0,0,0,2,0,0,8,0,5,3,5,1,5,1,0,18,0,0,0,3,1,7,2,0
v,2,0,0,346,4,0,0,0,0,0,0,0,0,3,0,1,2,0,5,0,1,1,1,2,0,0,2,0,0,1,5,1,0,8,0,0
o,5,3,2,1,1863,1,8,0,4,1,0,8,0,1,2,42,11,1,5,106,5,93,1,1,9,1,39,105,2,0,1,3,6,1,5,5
2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,8,14,1,48,7,0,9,393,1776,2,3,0,77,0,3,3,27,1,26,1,101,12,2,3,28,1,6,3,0,0,0,1,5,0,1,2
b,48,4,2,0,23,9,1,0,11,525,3,0,0,14,0,6,1,32,0,12,0,4,1,28,36,1,14,12,0,25,0,0,3,9,0,1
h,118,6,40,0,0,0,1,1,3,23,623,1,0,1,3,5,4,0,9,2,0,58,0,1,2,0,4,2,0,1,13,0,0,0,9,3
q,3,0,0,0,12,0,3,0,0,0,0,39,0,0,0,0,0,1,0,6,0,0,0,0,2,0,2,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,2,1,0,0,0,1,0,15,5,3,5,1,1,1,402,0,4,9,7,0,21,1,0,13,9,0,1,2,29,0,0,0,3,0,0,0
m,178,5,0,46,4,1,4,3,2,0,2,0,10,0,1,747,2,0,18,0,5,14,15,4,4,1,4,2,0,0,1,0,2,1,0,2
i,269,5,52,5,26,3,15,3,71,2,6,2,75,1,10,7,2238,0,271,9,16,79,0,6,64,13,9,5,0,0,2,3,6,0,4,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,10,3,3,2,2,2,6,19,2,1,4,1,107,0,3,2,39,0,1303,1,2,3,2,10,0,76,9,4,0,1,0,344,7,3,0,27
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,10,3,0,2,82,19,10,4,12,1,7,0,66,6,19,15,22,1,8,2,1859,44,149,27,9,3,8,13,3,0,0,345,10,6,1,6
n,408,0,4,1,118,2,19,1,6,0,0,4,0,3,3,10,25,0,46,25,1,1801,121,13,0,0,5,27,0,1,3,0,19,69,2,1
x,0,2,0,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0,0,0,103,3,0,1,0,0,0,0,1,0,1,2,0,0
e,15,6,1,6,9,1,7,8,30,2,19,1,4,0,57,9,14,3,17,20,142,12,1,3389,17,347,11,6,0,112,4,60,4,5,7,26
j,0,1,0,0,1,3,0,0,3,0,0,0,2,0,2,0,4,3,1,1,0,1,0,0,38,0,0,0,0,0,0,0,0,0,9,0
z,1,0,1,0,0,2,0,10,5,0,0,0,2,0,0,0,5,2,8,0,1,1,0,0,0,150,0,0,0,0,0,1,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
p,3,2,1,17,4,0,2,3,1,1,0,0,5,1,4,3,2,2,3,0,0,6,2,3,2,1,49,975,1,0,0,0,2,0,1,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
w,47,0,1,2,5,0,2,0,1,0,0,0,2,1,0,3,0,1,0,0,1,1,0,1,0,1,4,0,0,0,300,0,0,0,1,0
k,5,1,0,0,0,0,3,0,12,0,0,0,1,0,0,0,1,0,20,0,2,2,50,8,1,0,0,2,0,1,0,242,1,7,0,2
a,61,7,5,2,14,24,112,6,7,3,113,1,78,3,3,50,112,1,12,0,8,168,2,8,2,29,8,6,1,0,1,78,2066,19,1,1
g,32,1,2,0,81,0,0,0,3,1,0,5,1,68,0,12,2,0,1,12,1,63,1,16,8,0,8,0,1,37,0,1,5,720,0,65
d,68,2,0,1,205,0,3,1,1,1,1,0,1,0,0,15,7,2,3,25,2,2,0,10,12,2,5,3,0,1,0,2,72,1,979,2
c,11,3,0,1,103,1,2,0,3,0,0,0,1,4,0,3,5,1,4,33,51,5,1,2,2,1,6,0,0,0,0,0,2,2,1,1299
